Line,Lineset\South (CTK Side) Line 1 (E-W)-ch2
Frequency (MHz),Average Amplitude (mV)
44.2505,0.000262115
44.5557,0.000378596
44.8608,0.000449261
45.166,0.000454655
45.4712,0.000407066
45.7764,0.000393505
46.0815,0.000534711
46.3867,0.00076189
46.6919,0.000769543
46.9971,0.000497558
47.3022,0.000553377
47.6074,0.000653194
47.9126,0.000605648
48.2178,0.000527022
48.5229,0.00054162
48.8281,0.000546272
49.1333,0.000553497
49.4385,0.000675811
49.7437,0.000680732
50.0488,0.000725859
50.354,0.000739286
50.6592,0.000786648
50.9644,0.00070931
51.2695,0.000690129
51.5747,0.000837673
51.8799,0.000903829
52.1851,0.000824152
52.4902,0.000712046
52.7954,0.000708592
53.1006,0.000751781
53.4058,0.000734
53.7109,0.000889229
54.0161,0.00101395
54.3213,0.00103193
54.6265,0.00105975
54.9316,0.000975007
55.2368,0.00102328
55.542,0.00133114
55.8472,0.00155996
56.1523,0.00151667
56.4575,0.00125485
56.7627,0.000976928
57.0679,0.00102466
57.373,0.00125194
57.6782,0.00143223
57.9834,0.00126971
58.2886,0.000941483
58.5938,0.000886588
58.8989,0.00113586
59.2041,0.0014385
59.5093,0.0014648
59.8145,0.00122928
60.1196,0.00112488
60.4248,0.00145796
60.73,0.00199982
61.0352,0.00225047
61.3403,0.00215777
61.6455,0.00201284
61.9507,0.00192119
62.2559,0.00188463
62.561,0.00186134
62.8662,0.0018111
63.1714,0.0017947
63.4766,0.0017532
63.7817,0.00197354
64.0869,0.00218704
64.3921,0.00227389
64.6973,0.00222137
65.0024,0.00218841
65.3076,0.00220148
65.6128,0.00227262
65.918,0.00247891
66.2231,0.00269928
66.5283,0.00282557
66.8335,0.00274235
67.1387,0.00247375
67.4438,0.00231538
67.749,0.00230556
68.0542,0.00245218
68.3594,0.00277932
68.6646,0.00300809
68.9697,0.003038
69.2749,0.00294294
69.5801,0.0029531
69.8853,0.00319718
70.1904,0.00339129
70.4956,0.00334539
70.8008,0.00314896
71.106,0.00304021
71.4111,0.00325328
71.7163,0.00366689
72.0215,0.00391658
72.3267,0.00386435
72.6318,0.00370012
72.937,0.00373861
73.2422,0.00389109
73.5474,0.00402174
73.8525,0.00407045
74.1577,0.00396726
74.4629,0.00385065
74.7681,0.00392001
75.0732,0.00419139
75.3784,0.00458253
75.6836,0.00494295
75.9888,0.00508734
76.2939,0.00489007
76.5991,0.00450096
76.9043,0.00426798
77.2095,0.00439938
77.5146,0.0048191
77.8198,0.00522752
78.125,0.00546472
78.4302,0.00562995
78.7354,0.00583192
79.0405,0.00610857
79.3457,0.00626029
79.6509,0.00614341
79.9561,0.00594362
80.2612,0.00591688
80.5664,0.00622162
80.8716,0.00664858
81.1768,0.00682035
81.4819,0.00672972
81.7871,0.00665775
82.0923,0.00676836
82.3975,0.00692944
82.7026,0.00699956
83.0078,0.00694239
83.313,0.0068411
83.6182,0.00687158
83.9233,0.0070565
84.2285,0.00725311
84.5337,0.00739333
84.8389,0.00750959
85.144,0.00763075
85.4492,0.00762355
85.7544,0.0074227
86.0596,0.00721345
86.3647,0.00729895
86.6699,0.00776565
86.9751,0.00839047
87.2803,0.00886585
87.5854,0.00900396
87.8906,0.00893875
88.1958,0.00893177
88.501,0.00901847
88.8062,0.00913275
89.1113,0.00913221
89.4165,0.00906029
89.7217,0.00920063
90.0269,0.00946683
90.332,0.00964028
90.6372,0.00970892
90.9424,0.0097726
91.2476,0.0100039
91.5527,0.0103486
91.8579,0.0105281
92.1631,0.0104791
92.4683,0.0104477
92.7734,0.0107285
93.0786,0.0112453
93.3838,0.0115843
93.689,0.0115769
93.9941,0.0114059
94.2993,0.0113898
94.6045,0.011675
94.9097,0.0120109
95.2148,0.0120399
95.52,0.0117995
95.8252,0.0117403
96.1304,0.012076
96.4355,0.0125345
96.7407,0.0128594
97.0459,0.0130029
97.3511,0.0130921
97.6563,0.0132551
97.9614,0.0134468
98.2666,0.013592
98.5718,0.013797
98.877,0.0142457
99.1821,0.0148046
99.4873,0.0150528
99.7925,0.0147879
100.098,0.0142891
100.403,0.0141329
100.708,0.0145985
101.013,0.015316
101.318,0.0157455
101.624,0.0158031
101.929,0.015826
102.234,0.0160552
102.539,0.0163857
102.844,0.0165758
103.149,0.0165221
103.455,0.0164244
103.76,0.0165678
104.065,0.0168566
104.37,0.0169474
104.675,0.0168268
104.98,0.0169039
105.286,0.0174677
105.591,0.0181847
105.896,0.0184512
106.201,0.0181846
106.506,0.0178857
106.812,0.0179913
107.117,0.0184691
107.422,0.0189486
107.727,0.0191237
108.032,0.0191092
108.337,0.0192116
108.643,0.019524
108.948,0.0198107
109.253,0.0197853
109.558,0.0195418
109.863,0.0194773
110.168,0.0198308
110.474,0.0203881
110.779,0.0207169
111.084,0.0207019
111.389,0.0206292
111.694,0.0208627
112,0.0214159
112.305,0.0218807
112.61,0.021969
112.915,0.0217693
113.22,0.0215706
113.525,0.0216295
113.831,0.0220131
114.136,0.0226325
114.441,0.0232799
114.746,0.0236585
115.051,0.0235745
115.356,0.0231717
115.662,0.022964
115.967,0.0232995
116.272,0.0239562
116.577,0.0244857
116.882,0.0246413
117.188,0.0245985
117.493,0.0247426
117.798,0.0250964
118.103,0.0253235
118.408,0.025239
118.713,0.0250672
119.019,0.0251706
119.324,0.0255697
119.629,0.0259384
119.934,0.0259931
120.239,0.0258572
120.544,0.0259189
120.85,0.0262429
121.155,0.0265215
121.46,0.0265441
121.765,0.0265556
122.07,0.0270148
122.375,0.0277765
122.681,0.0281249
122.986,0.0277287
123.291,0.027103
123.596,0.0272317
