"Trace Number","Position","Number of points per trace","Elevation data","Total odometer ticks","# bytes/point","Time Sampling Interval (ps)","# of stacks","GPS X Position","GPS Y Position","GPS Z Position","Receiver X Position","Receiver Y Position","Receiver Z Position","Transmitter X Position","Transmitter Y Position","Transmitter Z Position","Timezero adjustment","Zero Trace Flag","Time of Day","Comment flag","Comments","RX_YAW (degrees)","RX_PITCH (degrees)","RX_ROLL (degrees)","TX_YAW (degrees)","TX_PITCH (degrees)","TX_ROLL (degrees)",
222,22.100,200,1761.048,23868,4,400.000,4,-105.2212467,39.7514823,1761.0482000,0.000,22.100,0.000,0.000,22.100,0.000,21.000,"0x0",3183.753173828125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
223,22.200,200,1761.051,23976,4,400.000,4,-105.2212473,39.7514820,1761.0509000,0.000,22.200,0.000,0.000,22.200,0.000,21.000,"0x0",3183.85009765625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
224,22.300,200,1761.054,24084,4,400.000,4,-105.2212479,39.7514817,1761.0536000,0.000,22.300,0.000,0.000,22.300,0.000,21.000,"0x0",3183.9541015625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
225,22.400,200,1761.056,24192,4,400.000,4,-105.2212486,39.7514814,1761.0563000,0.000,22.400,0.000,0.000,22.400,0.000,21.000,"0x0",3184.05126953125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
226,22.500,200,1761.059,24300,4,400.000,4,-105.2212493,39.7514810,1761.0590000,0.000,22.500,0.000,0.000,22.500,0.000,21.000,"0x0",3184.1552734375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
227,22.600,200,1761.060,24408,4,400.000,4,-105.2212500,39.7514807,1761.0604000,0.000,22.600,0.000,0.000,22.600,0.000,21.000,"0x0",3184.251220703125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
228,22.700,200,1761.062,24516,4,400.000,4,-105.2212506,39.7514803,1761.0618000,0.000,22.700,0.000,0.000,22.700,0.000,21.000,"0x0",3184.353759765625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
229,22.800,200,1761.063,24624,4,400.000,4,-105.2212513,39.7514800,1761.0632000,0.000,22.800,0.000,0.000,22.800,0.000,21.000,"0x0",3184.4560546875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
230,22.900,200,1761.065,24732,4,400.000,4,-105.2212520,39.7514796,1761.0646000,0.000,22.900,0.000,0.000,22.900,0.000,21.000,"0x0",3184.55078125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
231,23.000,200,1761.066,24840,4,400.000,4,-105.2212527,39.7514793,1761.0660000,0.000,23.000,0.000,0.000,23.000,0.000,21.000,"0x0",3184.648193359375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
