"Trace Number","Position","Number of points per trace","Elevation data","Total odometer ticks","# bytes/point","Time Sampling Interval (ps)","# of stacks","GPS X Position","GPS Y Position","GPS Z Position","Receiver X Position","Receiver Y Position","Receiver Z Position","Transmitter X Position","Transmitter Y Position","Transmitter Z Position","Timezero adjustment","Zero Trace Flag","Time of Day","Comment flag","Comments","RX_YAW (degrees)","RX_PITCH (degrees)","RX_ROLL (degrees)","TX_YAW (degrees)","TX_PITCH (degrees)","TX_ROLL (degrees)",
38,3.700,200,1760.644,3996,4,400.000,4,-105.2211322,39.7515443,1760.6440000,0.000,3.700,0.000,0.000,3.700,0.000,21.000,"0x0",608.4451904296875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
39,3.800,200,1760.645,4104,4,400.000,4,-105.2211329,39.7515439,1760.6452000,0.000,3.800,0.000,0.000,3.800,0.000,21.000,"0x0",608.542236328125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
40,3.900,200,1760.646,4212,4,400.000,4,-105.2211336,39.7515436,1760.6464000,0.000,3.900,0.000,0.000,3.900,0.000,21.000,"0x0",608.6400146484375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
41,4.000,200,1760.648,4320,4,400.000,4,-105.2211343,39.7515432,1760.6476000,0.000,4.000,0.000,0.000,4.000,0.000,21.000,"0x0",608.7410888671875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
42,4.100,200,1760.649,4428,4,400.000,4,-105.2211350,39.7515428,1760.6488000,0.000,4.100,0.000,0.000,4.100,0.000,21.000,"0x0",608.84796142578125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
43,4.200,200,1760.650,4536,4,400.000,4,-105.2211356,39.7515425,1760.6500000,0.000,4.200,0.000,0.000,4.200,0.000,21.000,"0x0",608.9603271484375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
44,4.300,200,1760.652,4644,4,400.000,4,-105.2211361,39.7515421,1760.6522727,0.000,4.300,0.000,0.000,4.300,0.000,21.000,"0x0",609.07537841796875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
45,4.400,200,1760.655,4752,4,400.000,4,-105.2211367,39.7515418,1760.6545455,0.000,4.400,0.000,0.000,4.400,0.000,21.000,"0x0",609.18048095703125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
46,4.500,200,1760.657,4860,4,400.000,4,-105.2211373,39.7515414,1760.6568182,0.000,4.500,0.000,0.000,4.500,0.000,21.000,"0x0",609.2913818359375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
47,4.600,200,1760.659,4968,4,400.000,4,-105.2211379,39.7515410,1760.6590909,0.000,4.600,0.000,0.000,4.600,0.000,21.000,"0x0",609.3826904296875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
48,4.700,200,1760.661,5076,4,400.000,4,-105.2211385,39.7515407,1760.6613636,0.000,4.700,0.000,0.000,4.700,0.000,21.000,"0x0",609.4727783203125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
49,4.800,200,1760.664,5184,4,400.000,4,-105.2211391,39.7515403,1760.6636364,0.000,4.800,0.000,0.000,4.800,0.000,21.000,"0x0",609.5592041015625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
50,4.900,200,1760.666,5292,4,400.000,4,-105.2211397,39.7515400,1760.6659091,0.000,4.900,0.000,0.000,4.900,0.000,21.000,"0x0",609.6505126953125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
51,5.000,200,1760.668,5400,4,400.000,4,-105.2211403,39.7515396,1760.6681818,0.000,5.000,0.000,0.000,5.000,0.000,21.000,"0x0",609.73992919921875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
52,5.100,200,1760.670,5508,4,400.000,4,-105.2211408,39.7515393,1760.6704545,0.000,5.100,0.000,0.000,5.100,0.000,21.000,"0x0",609.8280029296875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
53,5.200,200,1760.673,5616,4,400.000,4,-105.2211414,39.7515389,1760.6727273,0.000,5.200,0.000,0.000,5.200,0.000,21.000,"0x0",609.913818359375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
54,5.300,200,1760.675,5724,4,400.000,4,-105.2211422,39.7515385,1760.6750000,0.000,5.300,0.000,0.000,5.300,0.000,21.000,"0x0",610.00341796875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
55,5.400,200,1760.678,5832,4,400.000,4,-105.2211429,39.7515382,1760.6778000,0.000,5.400,0.000,0.000,5.400,0.000,21.000,"0x0",610.0936279296875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
56,5.500,200,1760.681,5940,4,400.000,4,-105.2211436,39.7515378,1760.6806000,0.000,5.500,0.000,0.000,5.500,0.000,21.000,"0x0",610.18914794921875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
57,5.600,200,1760.683,6048,4,400.000,4,-105.2211443,39.7515374,1760.6834000,0.000,5.600,0.000,0.000,5.600,0.000,21.000,"0x0",610.2864990234375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
58,5.700,200,1760.686,6156,4,400.000,4,-105.2211451,39.7515370,1760.6862000,0.000,5.700,0.000,0.000,5.700,0.000,21.000,"0x0",610.3814697265625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
59,5.800,200,1760.689,6264,4,400.000,4,-105.2211458,39.7515366,1760.6890000,0.000,5.800,0.000,0.000,5.800,0.000,21.000,"0x0",610.4798583984375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
60,5.900,200,1760.692,6372,4,400.000,4,-105.2211465,39.7515363,1760.6918000,0.000,5.900,0.000,0.000,5.900,0.000,21.000,"0x0",610.56927490234375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
61,6.000,200,1760.695,6480,4,400.000,4,-105.2211472,39.7515359,1760.6946000,0.000,6.000,0.000,0.000,6.000,0.000,21.000,"0x0",610.66229248046875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
62,6.100,200,1760.697,6588,4,400.000,4,-105.2211480,39.7515355,1760.6974000,0.000,6.100,0.000,0.000,6.100,0.000,21.000,"0x0",610.766357421875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
63,6.200,200,1760.700,6696,4,400.000,4,-105.2211487,39.7515351,1760.7002000,0.000,6.200,0.000,0.000,6.200,0.000,21.000,"0x0",610.8670654296875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
64,6.300,200,1760.703,6804,4,400.000,4,-105.2211494,39.7515348,1760.7030000,0.000,6.300,0.000,0.000,6.300,0.000,21.000,"0x0",610.9705810546875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
65,6.400,200,1760.703,6912,4,400.000,4,-105.2211500,39.7515344,1760.7032000,0.000,6.400,0.000,0.000,6.400,0.000,21.000,"0x0",611.0751953125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
66,6.500,200,1760.703,7020,4,400.000,4,-105.2211507,39.7515340,1760.7034000,0.000,6.500,0.000,0.000,6.500,0.000,21.000,"0x0",611.1842041015625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
67,6.600,200,1760.704,7128,4,400.000,4,-105.2211513,39.7515337,1760.7036000,0.000,6.600,0.000,0.000,6.600,0.000,21.000,"0x0",611.2794189453125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
68,6.700,200,1760.704,7236,4,400.000,4,-105.2211520,39.7515333,1760.7038000,0.000,6.700,0.000,0.000,6.700,0.000,21.000,"0x0",611.380859375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
69,6.800,200,1760.704,7344,4,400.000,4,-105.2211526,39.7515329,1760.7040000,0.000,6.800,0.000,0.000,6.800,0.000,21.000,"0x0",611.47698974609375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
