Line,Sample,X,Y,Mark,Status,GPSStat,GPSalt,Time[ms],Time[hhmmss.sss],PowerLn,I_18330Hz,Q_18330Hz,I_38310Hz,Q_38310Hz,I_80010Hz,Q_80010Hz,QSum
 0, 712,   481034.45,  4400174.30,  14,0,4, 1762.84, 80596523.700,222316.5237,    4.7,-4.42853e+002, 1.55379e+003, 3.11721e+002, 2.14164e+003, 1.82971e+003, 2.81140e+003, 6.50684e+003
 0, 713,   481034.42,  4400174.30,  14,0,4, 1762.85, 80596623.700,222316.6237,    4.0,-3.09807e+002, 1.50272e+003, 3.88933e+002, 2.34533e+003, 1.88517e+003, 2.93516e+003, 6.78320e+003
 0, 714,   481034.40,  4400174.30,  14,0,4, 1762.85, 80596723.700,222316.7237,    5.6,-2.69231e+002, 1.49327e+003, 3.68472e+002, 1.98029e+003, 1.66953e+003, 3.00346e+003, 6.47702e+003
 0, 715,   481034.37,  4400174.28,  14,0,4, 1762.85, 80596823.700,222316.8237,    5.0,-3.49255e+002, 1.46448e+003, 1.30306e+002, 1.63930e+003, 1.63987e+003, 3.16845e+003, 6.27223e+003
 0, 716,   481034.32,  4400174.24,  14,0,4, 1762.85, 80596923.700,222316.9237,   13.6,-3.89513e+002, 1.50790e+003, 1.07541e+002, 2.00136e+003, 1.74472e+003, 3.16799e+003, 6.67724e+003
 0, 717,   481034.28,  4400174.20,  14,0,4, 1762.85, 80597023.700,222317.0237,   15.4,-3.40687e+002, 1.38751e+003, 2.96033e+002, 2.12183e+003, 1.70131e+003, 3.21172e+003, 6.72106e+003
 0, 718,   481034.24,  4400174.16,  14,0,4, 1762.85, 80597123.700,222317.1237,   15.5,-1.49436e+002, 1.34226e+003, 4.47676e+002, 1.88350e+003, 1.79876e+003, 3.41982e+003, 6.64559e+003
 0, 719,   481034.20,  4400174.12,  14,0,4, 1762.85, 80597223.700,222317.2237,    7.5, 2.02954e+000, 1.36808e+003,-1.47220e+001, 2.00839e+003, 1.78320e+003, 3.38054e+003, 6.75701e+003
 0, 720,   481034.16,  4400174.08,  14,0,4, 1762.85, 80597323.700,222317.3237,    7.0,-4.44384e+001, 1.39700e+003,-1.10141e+002, 2.36333e+003, 1.67798e+003, 3.23501e+003, 6.99534e+003
 0, 721,   481034.12,  4400174.04,  14,0,4, 1762.85, 80597423.700,222317.4237,    5.7, 5.05157e+001, 1.39857e+003, 5.76144e+002, 2.39968e+003, 1.79140e+003, 3.24389e+003, 7.04214e+003
 0, 722,   481034.08,  4400174.00,  14,0,4, 1762.85, 80597523.700,222317.5237,   10.0, 1.63431e+002, 1.35130e+003, 9.07251e+002, 2.07044e+003, 1.89643e+003, 3.20359e+003, 6.62532e+003
 0, 723,   481034.04,  4400173.96,  14,0,4, 1762.85, 80597623.700,222317.6237,    8.2, 1.60164e+002, 1.32315e+003, 8.08617e+002, 2.07883e+003, 1.94912e+003, 3.19153e+003, 6.59352e+003
 0, 724,   481034.00,  4400173.92,  14,0,4, 1762.85, 80597723.700,222317.7237,   14.3, 3.40892e+002, 1.37484e+003, 1.18700e+003, 2.31488e+003, 2.10012e+003, 3.32297e+003, 7.01269e+003
 0, 725,   481033.95,  4400173.88,  14,0,4, 1762.85, 80597823.700,222317.8237,   13.5, 1.58651e+002, 1.33753e+003, 1.29187e+003, 2.33406e+003, 2.03257e+003, 3.38451e+003, 7.05609e+003
