Line,Lineset\South (CTK Side) Line 1 (E-W)-ch2
Time (ns),Average Amplitude (mV)
-449.624,0.0720527
-449.224,0.168753
-448.824,0.170511
-448.424,0.11379
-448.024,0.17179
-447.624,0.10664
-447.224,0.0994903
-446.824,0.116552
-446.424,0.0861058
-446.024,0.135996
-445.624,0.12453
-445.224,0.11863
-444.824,0.147303
-444.424,0.105332
-444.024,0.081092
-443.624,0.121929
-443.224,0.097354
-442.824,0.0502102
-442.424,0.0674314
-442.024,0.124981
-441.624,0.0324804
-441.224,0.0720528
-440.824,0.12267
-440.424,0.071951
-440.024,0.0956828
-439.624,0.0943894
-439.224,0.086411
-438.824,0.102426
-438.424,0.0735787
-438.024,0.0910324
-437.624,0.12703
-437.224,0.154656
-436.824,0.0534219
-436.424,0.252897
-436.024,0.0329745
-435.624,0.0901604
-435.224,0.0284549
-434.824,0.083955
-434.424,0.111494
-434.024,0.0667483
-433.624,0.116435
-433.224,0.0575492
-432.824,0.111087
-432.424,0.111988
-432.024,0.142841
-431.624,0.0821384
-431.224,0.100391
-430.824,0.0764852
-430.424,0.145181
-430.024,0.0829958
-429.624,0.101205
-429.224,0.0791737
-428.824,0.109082
-428.424,0.073288
-428.024,0.053015
-427.624,0.0932268
-427.224,0.104184
-426.824,0.126143
-426.424,0.0743198
-426.024,0.0822256
-425.624,0.135851
-425.224,0.125867
-424.824,0.0394561
-424.424,0.106132
-424.024,0.0597
-423.624,0.09468
-423.224,0.0643069
-422.824,0.123629
-422.424,0.0651788
-422.024,0.091076
-421.624,0.0523756
-421.224,0.077052
-420.824,0.0493092
-420.424,0.0659926
-420.024,0.0885327
-419.624,0.113122
-419.224,0.0947236
-418.824,0.0446152
-418.424,0.120475
-418.024,0.112541
-417.624,0.0845653
-417.224,0.0526662
-416.824,0.0981243
-416.424,0.0576655
-416.024,0.110201
-415.624,0.163361
-415.224,0.106292
-414.824,0.0725905
-414.424,0.101423
-414.024,0.0895791
-413.624,0.1631
-413.224,0.0659054
-412.824,0.056561
-412.424,0.10728
-412.024,0.0876317
-411.624,0.0765724
-411.224,0.0430747
-410.824,0.0997955
-410.424,0.0717912
-410.024,0.0955956
-409.624,0.123222
-409.224,0.111974
-408.824,0.109343
-408.424,0.138147
-408.024,0.072387
-407.624,0.0781274
-407.224,0.100246
-406.824,0.083519
-406.424,0.074378
-406.024,0.0875591
-405.624,0.0928489
-405.224,0.115549
-404.824,0.1068
-404.424,0.137435
-404.024,0.0746977
-403.624,0.0723579
-403.224,0.0973976
-402.824,0.158289
-402.424,0.0660798
-402.024,0.0547444
-401.624,0.0706431
-401.224,0.105085
-400.824,0.148058
-400.424,0.134267
-400.024,0.0537271
-399.624,0.0813536
-399.224,0.0558779
-398.824,0.104751
-398.424,0.120403
-398.024,0.0845944
-397.624,0.173316
-397.224,0.135124
-396.824,0.0819349
-396.424,0.156604
-396.024,0.094433
-395.624,0.121246
-395.224,0.0917881
-394.824,0.095087
-394.424,0.0869923
-394.024,0.172066
-393.624,0.10308
-393.224,0.110826
-392.824,0.0994613
-392.424,0.0662106
-392.024,0.124486
-391.624,0.106379
-391.224,0.093561
-390.824,0.121667
-390.424,0.195057
-390.024,0.0868179
-389.624,0.0759766
-389.224,0.0792609
-388.824,0.0798132
-388.424,0.0379011
-388.024,0.162562
-387.624,0.150732
-387.224,0.149134
-386.824,0.132625
-386.424,0.0805253
-386.024,0.059482
-385.624,0.104228
-385.224,0.0956973
-384.824,0.104708
-384.424,0.0586101
-384.024,0.0853792
-383.624,0.093314
-383.224,0.135153
-382.824,0.0632605
-382.424,0.0980225
-382.024,0.0943313
-381.624,0.0528552
-381.224,0.134238
-380.824,0.0680708
-380.424,0.0999699
-380.024,0.0545119
-379.624,0.105216
-379.224,0.0817315
-378.824,0.115622
-378.424,0.106771
-378.024,0.0593948
-377.624,0.0504137
-377.224,0.0946655
-376.824,0.115898
-376.424,0.104315
-376.024,0.0741454
-375.624,0.244671
-375.224,0.204605
-374.824,0.0644958
-374.424,0.0261006
-374.024,0.10821
-373.624,0.0898988
-373.224,0.125736
-372.824,0.0829958
-372.424,0.142376
-372.024,0.134267
-371.624,0.153203
-371.224,0.0953049
-370.824,0.0879078
-370.424,0.173025
-370.024,0.0689573
-369.624,0.0744942
-369.224,0.12437
-368.824,0.0894919
-368.424,0.110419
-368.024,0.0549769
-367.624,0.147724
-367.224,0.131796
-366.824,0.097572
-366.424,0.135066
-366.024,0.127916
-365.624,0.112977
-365.224,0.119342
-364.824,0.139542
-364.424,0.161777
-364.024,0.089739
-363.624,0.145355
-363.224,0.111146
-362.824,0.0928925
-362.424,0.0987201
-362.024,0.0909597
-361.624,0.0640889
-361.224,0.0522012
-360.824,0.107672
-360.424,0.159612
-360.024,0.104504
-359.624,0.0451238
-359.224,0.140051
-358.824,0.134761
-358.424,0.168782
-358.024,0.178199
-357.624,0.0948835
-357.224,0.127727
-356.824,0.114314
-356.424,0.0568952
-356.024,0.0918752
-355.624,0.115389
-355.224,0.152767
-354.824,0.0673151
-354.424,0.177124
-354.024,0.0932122
-353.624,0.0704396
-353.224,0.206349
-352.824,0.0697421
-352.424,0.114895
-352.024,0.079508
-351.624,0.101278
-351.224,0.0449639
-350.824,0.0413162
-350.424,0.124545
-350.024,0.156691
-349.624,0.160992
-349.224,0.0685795
-348.824,0.142013
-348.424,0.0511548
-348.024,0.0765143
-347.624,0.112977
-347.224,0.0840567
-346.824,0.118499
-346.424,0.127102
-346.024,0.158318
-345.624,0.0853792
-345.224,0.108283
-344.824,0.115665
-344.424,0.172633
-344.024,0.106103
-343.624,0.133279
-343.224,0.127044
-342.824,0.0808159
-342.424,0.0657165
-342.024,0.123251
-341.624,0.135299
-341.224,0.140036
-340.824,0.0526808
-340.424,0.0589734
-340.024,0.117656
-339.624,0.164931
-339.224,0.0734188
-338.824,0.0921804
-338.424,0.0854518
-338.024,0.118339
-337.624,0.188604
-337.224,0.137144
-336.824,0.0939389
-336.424,0.0899279
-336.024,0.079944
-335.624,0.0654695
-335.224,0.0377267
-334.824,0.158057
-334.424,0.0430602
-334.024,0.12376
-333.624,0.068623
-333.224,0.101525
-332.824,0.0990834
-332.424,0.0974703
-332.024,0.0695095
-331.624,0.154395
-331.224,0.0995485
-330.824,0.115084
-330.424,0.0488732
-330.024,0.101903
-329.624,0.0388166
-329.224,0.0830975
-328.824,0.148901
-328.424,0.0985312
-328.024,0.17211
-327.624,0.107207
-327.224,0.052361
-326.824,0.0836934
-326.424,0.116668
-326.024,0.0940551
-325.624,0.0679545
-325.224,0.0565319
-324.824,0.145922
-324.424,0.0827052
-324.024,0.0622287
-323.624,0.125402
-323.224,0.163594
-322.824,0.107483
-322.424,0.0582904
-322.024,0.0741309
-321.624,0.0927036
-321.224,0.100202
-320.824,0.0916863
-320.424,0.0930815
-320.024,0.111146
-319.624,0.114241
-319.224,0.105114
-318.824,0.108951
-318.424,0.102775
-318.024,0.0867162
-317.624,0.103269
-317.224,0.119574
-316.824,0.0988654
-316.424,0.0352707
-316.024,0.132843
-315.624,0.104548
-315.224,0.147521
-314.824,0.11257
-314.424,0.0806706
-314.024,0.0982696
-313.624,0.0869196
-313.224,0.0936046
-312.824,0.155121
-312.424,0.0988073
-312.024,0.133366
-311.624,0.102964
-311.224,0.0944621
-310.824,0.0687538
-310.424,0.0666175
-310.024,0.068812
-309.624,0.145428
-309.224,0.100871
-308.824,0.137261
-308.424,0.0840276
-308.024,0.0662978
-307.624,0.0561831
-307.224,0.0789557
-306.824,0.0626937
-306.424,0.151779
-306.024,0.11055
-305.624,0.125678
-305.224,0.0942877
-304.824,0.0896227
-304.424,0.0722417
-304.024,0.119153
-303.624,0.0657311
-303.224,0.130154
-302.824,0.0359973
-302.424,0.099098
-302.024,0.062374
-301.624,0.132974
-301.224,0.0632024
-300.824,0.119516
-300.424,0.159859
-300.024,0.0346603
-299.624,0.0977755
-299.224,0.187078
-298.824,0.0931977
-298.424,0.0827488
-298.024,0.0821675
-297.624,0.124995
-297.224,0.15515
-296.824,0.0553984
-296.424,0.063246
-296.024,0.0939389
-295.624,0.127219
-295.224,0.104301
-294.824,0.123295
-294.424,0.142391
-294.024,0.109155
-293.624,0.065019
-293.224,0.0764707
-292.824,0.206116
-292.424,0.122161
-292.024,0.0985603
-291.624,0.0400519
-291.224,0.129398
-290.824,0.0784616
-290.424,0.180423
-290.024,0.109867
-289.624,0.0522738
-289.224,0.111727
-288.824,0.108966
-288.424,0.115011
-288.024,0.105347
-287.624,0.114895
-287.224,0.0961042
-286.824,0.0710645
-286.424,0.0980371
-286.024,0.0692915
-285.624,0.0423045
-285.224,0.0650771
-284.824,0.147899
-284.424,0.114444
-284.024,0.0995485
-283.624,0.0924565
-283.224,0.155586
-282.824,0.117932
-282.424,0.0468822
-282.024,0.107382
-281.624,0.115055
-281.224,0.0682016
-280.824,0.070367
-280.424,0.119734
-280.024,0.101612
-279.624,0.112948
-279.224,0.152113
-278.824,0.101583
-278.424,0.119168
-278.024,0.0818477
-277.624,0.0765579
-277.224,0.0677656
-276.824,0.0326112
-276.424,0.157243
-276.024,0.0837951
-275.624,0.088649
-275.224,0.146983
-274.824,0.159437
-274.424,0.109489
-274.024,0.10712
-273.624,0.170351
-273.224,0.187485
-272.824,0.0711663
-272.424,0.191337
-272.024,0.129471
-271.624,0.123237
-271.224,0.0733316
-270.824,0.0679545
-270.424,0.160716
-270.024,0.103632
-269.624,0.145283
-269.224,0.106887
-268.824,0.120098
-268.424,0.08644
