"","TRACE",1,2,3,4,5
"","Position (m)",0,0.10000000000000001,0.20000000000000001,0.30000000000000004,0.40000000000000002
"Point","Time (ns)"
241,-552.024,-7,-27,-133,-47,8
242,-551.62400000000002,-51,-30,85,-57,96
243,-551.22400000000005,49,-52,-4,-23,72
244,-550.82399999999996,72,6,-78,-152,-81
245,-550.42399999999998,141,12,33,-73,-70
246,-550.024,21,-181,-28,-99,-27
247,-549.62400000000002,39,22,-38,-62,16
248,-549.22400000000005,-140,-61,-84,-52,-3
249,-548.82399999999996,-15,41,-35,9,-101
250,-548.42399999999998,-214,-60,-71,152,23
251,-548.024,-27,-99,-54,-88,-70
252,-547.62400000000002,-187,64,73,-70,-18
253,-547.22400000000005,55,26,-45,-55,102
254,-546.82399999999996,146,79,-120,-175,-139
255,-546.42399999999998,-58,31,12,-177,-25
256,-546.024,-103,43,10,-88,-25
257,-545.62400000000002,-31,38,20,-233,-52
258,-545.22400000000005,147,-30,-28,-1,78
259,-544.82399999999996,-81,35,44,45,-1
260,-544.42399999999998,23,-22,-7,66,-41
261,-544.024,111,-53,-68,-27,144
262,-543.62400000000002,108,93,-117,-158,-50
263,-543.22400000000005,-60,-46,-13,-9,-102
264,-542.82399999999996,-22,-92,182,-66,-146
265,-542.42399999999998,113,213,-69,146,-41
266,-542.024,67,-58,-120,107,70
267,-541.62400000000002,156,75,29,95,-2
268,-541.22400000000005,54,-19,-28,-2,-143
269,-540.82399999999996,48,10,94,100,-31
270,-540.42399999999998,-62,42,17,-5,-76
271,-540.024,-127,-25,-159,4,94
272,-539.62400000000002,-27,135,90,-113,113
273,-539.22400000000005,53,60,11,63,-44
274,-538.82399999999996,99,153,96,10,-55
275,-538.42399999999998,219,-128,30,-38,71
276,-538.024,-191,-72,-137,-1,-24
277,-537.62400000000002,-17,46,16,60,-27
278,-537.22400000000005,-1,-24,-88,-82,104
279,-536.82399999999996,29,-25,102,-116,-122
280,-536.42399999999998,-36,-55,79,-40,117
281,-536.024,18,-25,14,77,-121
282,-535.62400000000002,29,-10,51,30,-76
283,-535.22400000000005,-79,30,-88,56,54
284,-534.82399999999996,30,-98,73,-15,6
285,-534.42399999999998,-81,108,147,122,-158
286,-534.024,118,-41,23,-96,5
287,-533.62400000000002,16,39,-53,57,-9
288,-533.22400000000005,-167,-126,-82,104,-157
289,-532.82399999999996,-74,31,-27,-53,5
290,-532.42399999999998,23,-61,-129,-54,-22
291,-532.024,-185,7,-56,-74,-105
292,-531.62400000000002,-143,16,42,30,-90
293,-531.22400000000005,-58,72,-169,-33,41
294,-530.82399999999996,-82,23,-72,-68,-91
295,-530.42399999999998,31,-22,101,216,-16
296,-530.024,-106,29,-68,-48,-65
297,-529.62400000000002,-76,44,87,156,150
298,-529.22400000000005,74,69,79,148,54
299,-528.82399999999996,-76,-25,70,5,-74
300,-528.42399999999998,24,-35,-134,-78,-90
301,-528.024,85,47,-128,51,-74
302,-527.62400000000002,-12,-42,-97,-8,97
303,-527.22400000000005,-45,5,-3,85,66
304,-526.82399999999996,61,105,91,-13,74
305,-526.42399999999998,-31,-43,-43,-95,-36
306,-526.024,-29,7,54,-36,-22
307,-525.62400000000002,-23,-21,-36,25,-35
308,-525.22400000000005,-71,111,-59,116,68
309,-524.82399999999996,77,15,47,-19,-117
310,-524.42399999999998,164,62,-17,-173,17
311,-524.024,106,-35,202,-47,-98
312,-523.62400000000002,100,127,-39,177,153
313,-523.22400000000005,107,14,56,-29,13
314,-522.82399999999996,-139,21,16,87,-17
315,-522.42399999999998,-3,-17,52,-13,-17
316,-522.024,61,-99,62,153,-13
317,-521.62400000000002,-96,-107,46,29,-29
318,-521.22400000000005,-85,-75,3,-21,-39
319,-520.82399999999996,-29,84,142,-55,157
320,-520.42399999999998,-15,-34,-136,46,42
321,-520.024,5,17,-29,30,26
322,-519.62400000000002,51,-31,50,-63,2
323,-519.22400000000005,-47,-41,-29,-85,-89
324,-518.82399999999996,103,5,3,105,112
325,-518.42399999999998,-131,-72,-58,144,19
326,-518.024,-6,124,-15,-86,103
