MST (Seconds),Reading (nT),Date (MM/DD/YY)
51825.0,50266.2,11/20/25
51830.0,50266.3,11/20/25
51835.0,50266.6,11/20/25
51840.0,50266.7,11/20/25
51845.0,50267.0,11/20/25
51850.0,50266.9,11/20/25
51855.0,50266.9,11/20/25
51860.0,50266.9,11/20/25
51865.0,50267.0,11/20/25
51870.0,50266.9,11/20/25
51875.0,50267.1,11/20/25
51880.0,50267.2,11/20/25
51885.0,50267.2,11/20/25
51890.0,50267.1,11/20/25
51895.0,50267.2,11/20/25
51900.0,50267.5,11/20/25
51905.0,50267.4,11/20/25
51910.0,50267.3,11/20/25
51915.0,50267.6,11/20/25
51920.0,50267.5,11/20/25
51925.0,50267.6,11/20/25
51930.0,50267.4,11/20/25
51935.0,50267.5,11/20/25
51940.0,50267.6,11/20/25
51945.0,50267.6,11/20/25
51950.0,50267.7,11/20/25
51955.0,50267.5,11/20/25
51960.0,50267.2,11/20/25
51965.0,50267.3,11/20/25
51970.0,50267.0,11/20/25
51975.0,50267.3,11/20/25
51980.0,50267.6,11/20/25
51985.0,50267.5,11/20/25
51990.0,50267.5,11/20/25
51995.0,50267.4,11/20/25
52000.0,50267.4,11/20/25
52005.0,50267.2,11/20/25
52010.0,50267.5,11/20/25
52015.0,50267.6,11/20/25
52020.0,50267.6,11/20/25
52025.0,50267.8,11/20/25
52030.0,50267.7,11/20/25
52035.0,50267.7,11/20/25
52040.0,50267.9,11/20/25
52045.0,50268.1,11/20/25
52050.0,50268.1,11/20/25
52055.0,50267.8,11/20/25
52060.0,50267.5,11/20/25
52065.0,50268.0,11/20/25
52070.0,50268.1,11/20/25
52075.0,50268.1,11/20/25
52080.0,50268.1,11/20/25
52085.0,50268.2,11/20/25
52090.0,50268.2,11/20/25
52095.0,50268.1,11/20/25
52100.0,50268.0,11/20/25
52105.0,50267.6,11/20/25
52110.0,50267.4,11/20/25
52115.0,50267.6,11/20/25
52120.0,50267.9,11/20/25
52125.0,50268.1,11/20/25
52130.0,50268.1,11/20/25
52135.0,50268.3,11/20/25
52140.0,50268.4,11/20/25
52145.0,50268.5,11/20/25
52150.0,50268.3,11/20/25
52155.0,50268.1,11/20/25
52160.0,50268.0,11/20/25
52165.0,50268.1,11/20/25
52170.0,50268.4,11/20/25
52175.0,50268.4,11/20/25
52180.0,50268.6,11/20/25
52185.0,50268.4,11/20/25
52190.0,50268.1,11/20/25
52195.0,50268.3,11/20/25
52200.0,50268.3,11/20/25
52205.0,50268.2,11/20/25
52210.0,50268.3,11/20/25
52215.0,50268.5,11/20/25
52220.0,50268.3,11/20/25
52225.0,50268.5,11/20/25
52230.0,50268.1,11/20/25
52235.0,50268.3,11/20/25
52240.0,50268.0,11/20/25
52245.0,50268.1,11/20/25
52250.0,50268.0,11/20/25
52255.0,50268.1,11/20/25
52260.0,50268.2,11/20/25
52265.0,50268.5,11/20/25
52270.0,50268.5,11/20/25
52275.0,50268.4,11/20/25
52280.0,50268.5,11/20/25
52285.0,50268.6,11/20/25
52290.0,50268.3,11/20/25
52295.0,50268.4,11/20/25
52300.0,50268.1,11/20/25
52305.0,50268.4,11/20/25
52310.0,50268.5,11/20/25
52315.0,50268.6,11/20/25
52320.0,50268.8,11/20/25
52325.0,50268.5,11/20/25
52330.0,50268.8,11/20/25
52335.0,50268.6,11/20/25
52340.0,50268.6,11/20/25
52345.0,50268.5,11/20/25
52350.0,50268.3,11/20/25
52355.0,50268.5,11/20/25
52360.0,50268.5,11/20/25
52365.0,50268.5,11/20/25
52370.0,50268.6,11/20/25
52375.0,50268.9,11/20/25
52380.0,50268.5,11/20/25
52385.0,50268.3,11/20/25
52390.0,50268.6,11/20/25
52395.0,50268.6,11/20/25
52400.0,50268.8,11/20/25
52405.0,50268.6,11/20/25
52410.0,50268.8,11/20/25
52415.0,50268.7,11/20/25
52420.0,50268.7,11/20/25
52425.0,50268.8,11/20/25
52430.0,50268.8,11/20/25
52435.0,50268.5,11/20/25
52440.0,50268.7,11/20/25
52445.0,50268.8,11/20/25
52450.0,50268.8,11/20/25
52455.0,50268.8,11/20/25
52460.0,50268.9,11/20/25
52465.0,50268.3,11/20/25
52470.0,50268.3,11/20/25
52475.0,50268.5,11/20/25
52480.0,50268.7,11/20/25
52485.0,50268.8,11/20/25
52490.0,50268.9,11/20/25
52495.0,50269.0,11/20/25
52500.0,50269.0,11/20/25
52505.0,50269.0,11/20/25
52510.0,50268.8,11/20/25
52515.0,50269.0,11/20/25
52520.0,50269.0,11/20/25
52525.0,50268.8,11/20/25
52530.0,50268.6,11/20/25
52535.0,50268.6,11/20/25
52540.0,50268.6,11/20/25
52545.0,50268.9,11/20/25
52550.0,50268.7,11/20/25
52555.0,50269.1,11/20/25
52560.0,50269.0,11/20/25
