Date (MM/DD/YYYY),Time (HH:MM:SS.S MST),MST (Sec),Latitude (Deg N),Longitude (Deg E),Mag (nT),Easting (m),Northing (m),UTM Zone
11/20/2025,15:29:21.7,55761.7,39.75129747,-105.2215151,50177.63105371151,481023.1097774328,4400177.722235158,13S
11/20/2025,15:29:21.8,55761.8,39.75129729,-105.2215151,50179.191041670405,481023.1097280435,4400177.702257751,13S
11/20/2025,15:29:21.9,55761.9,39.75129711,-105.2215151,50182.46779619602,481023.10967865423,4400177.682280344,13S
11/20/2025,15:29:22.0,55762.0,39.75129693,-105.2215151,50186.01998889459,481023.1096292649,4400177.662302936,13S
11/20/2025,15:29:22.1,55762.1,39.75129661,-105.2215153,50189.21538060377,481023.0924077245,4400177.6268299045,13S
11/20/2025,15:29:22.2,55762.2,39.75129628,-105.2215155,50191.823653459134,481023.0751834401,4400177.590247015,13S
11/20/2025,15:29:22.3,55762.3,39.75129596,-105.2215157,50194.45105244671,481023.05796189944,4400177.554773984,13S
11/20/2025,15:29:22.4,55762.4,39.75129564,-105.2215159,50197.191940805744,481023.0407403586,4400177.519300951,13S
11/20/2025,15:29:22.5,55762.5,39.75129532,-105.2215161,50199.54026832733,481023.0235188154,4400177.483827918,13S
11/20/2025,15:29:22.6,55762.6,39.75129499,-105.2215162,50201.61382268889,481023.01486140135,4400177.4472238505,13S
11/20/2025,15:29:22.7,55762.7,39.75129467,-105.2215164,50204.28116284956,481022.9976398579,4400177.411750818,13S
11/20/2025,15:29:22.8,55762.8,39.75129435,-105.2215166,50206.82503824769,481022.9804183142,4400177.376277786,13S
11/20/2025,15:29:22.9,55762.9,39.75129402,-105.2215168,50208.73274509807,481022.96319402877,4400177.3396948995,13S
11/20/2025,15:29:23.0,55763.0,39.7512937,-105.221517,50209.80743869275,481022.945972487,4400177.304221866,13S
11/20/2025,15:29:23.1,55763.1,39.75129349,-105.2215169,50209.75992780843,481022.9544817346,4400177.280893711,13S
11/20/2025,15:29:23.2,55763.2,39.75129329,-105.2215168,50208.75710963113,481022.96299372613,4400177.258675411,13S
11/20/2025,15:29:23.3,55763.3,39.75129309,-105.2215167,50206.69065521618,481022.97150571994,4400177.236457113,13S
11/20/2025,15:29:23.4,55763.4,39.75129288,-105.2215166,50205.37383111807,481022.9800149655,4400177.213128958,13S
11/20/2025,15:29:23.5,55763.5,39.75129268,-105.2215165,50205.025343893896,481022.98852695717,4400177.190910657,13S
11/20/2025,15:29:23.6,55763.6,39.75129247,-105.2215164,50205.41840295493,481022.99703620723,4400177.1675825035,13S
11/20/2025,15:29:23.7,55763.7,39.75129226,-105.2215163,50204.70090354497,481023.00554545515,4400177.144254346,13S
11/20/2025,15:29:23.8,55763.8,39.75129206,-105.2215162,50202.3029963416,481023.0140574492,4400177.122036047,13S
11/20/2025,15:29:23.9,55763.9,39.75129185,-105.2215161,50199.74695705781,481023.022566695,4400177.098707893,13S
11/20/2025,15:29:24.0,55764.0,39.75129165,-105.221516,50198.31994157705,481023.03107868915,4400177.076489594,13S
11/20/2025,15:29:24.1,55764.1,39.75129139,-105.221516,50199.6023601734,481023.03100734873,4400177.047633338,13S
11/20/2025,15:29:24.2,55764.2,39.75129113,-105.2215159,50201.0205084754,481023.0395028776,4400177.018755903,13S
11/20/2025,15:29:24.3,55764.3,39.75129088,-105.2215159,50201.53341880608,481023.0394342811,4400176.991009503,13S
11/20/2025,15:29:24.4,55764.4,39.75129062,-105.2215158,50201.72630781743,481023.0479298079,4400176.962132068,13S
11/20/2025,15:29:24.5,55764.5,39.75129036,-105.2215158,50201.7388930216,481023.04785846756,4400176.933275812,13S
11/20/2025,15:29:24.6,55764.6,39.7512901,-105.2215158,50201.60627011854,481023.0477871272,4400176.904419558,13S
11/20/2025,15:29:24.7,55764.7,39.75128984,-105.2215157,50201.74484546629,481023.0562826585,4400176.875542121,13S
11/20/2025,15:29:24.8,55764.8,39.75128959,-105.2215157,50201.8749747183,481023.0562140621,4400176.847795723,13S
11/20/2025,15:29:24.9,55764.9,39.75128933,-105.2215156,50201.98176015631,481023.0647095913,4400176.818918287,13S
11/20/2025,15:29:25.0,55765.0,39.75128907,-105.2215156,50201.99427940194,481023.064638251,4400176.790062032,13S
11/20/2025,15:29:25.1,55765.1,39.7512889,-105.2215156,50201.95698874372,481023.06459160545,4400176.77119448,13S
11/20/2025,15:29:25.2,55765.2,39.75128873,-105.2215156,50201.951964666725,481023.06454495987,4400176.752326929,13S
11/20/2025,15:29:25.3,55765.3,39.75128855,-105.2215156,50201.9038817451,481023.06449557043,4400176.7323495215,13S
11/20/2025,15:29:25.4,55765.4,39.75128838,-105.2215156,50201.895378404646,481023.0644489249,4400176.71348197,13S
11/20/2025,15:29:25.5,55765.5,39.75128821,-105.2215156,50201.94642721938,481023.0644022793,4400176.694614417,13S
11/20/2025,15:29:25.6,55765.6,39.75128804,-105.2215156,50201.98673334089,481023.0643556338,4400176.675746865,13S
11/20/2025,15:29:25.7,55765.7,39.75128787,-105.2215156,50202.05348490511,481023.0643089882,4400176.656879314,13S
11/20/2025,15:29:25.8,55765.8,39.75128769,-105.2215155,50201.9908334908,481023.0728264685,4400176.6368807275,13S
11/20/2025,15:29:25.9,55765.9,39.75128752,-105.2215155,50201.9703661224,481023.072779823,4400176.618013174,13S
11/20/2025,15:29:26.0,55766.0,39.75128735,-105.2215155,50201.95044342581,481023.07273317745,4400176.599145623,13S
11/20/2025,15:29:26.1,55766.1,39.75128736,-105.2215155,50201.82879326225,481023.0727359213,4400176.60025548,13S
11/20/2025,15:29:26.2,55766.2,39.75128738,-105.2215154,50201.81371600845,481023.0813082787,4400176.602454013,13S
11/20/2025,15:29:26.3,55766.3,39.75128739,-105.2215154,50201.82046088575,481023.0813110226,4400176.60356387,13S
11/20/2025,15:29:26.4,55766.4,39.75128741,-105.2215154,50201.84471554577,481023.0813165103,4400176.605783581,13S
11/20/2025,15:29:26.5,55766.5,39.75128743,-105.2215153,50201.790813900094,481023.0898888677,4400176.607982114,13S
11/20/2025,15:29:26.6,55766.6,39.75128744,-105.2215153,50201.75522288136,481023.08989161154,4400176.609091967,13S
11/20/2025,15:29:26.7,55766.7,39.75128745,-105.2215152,50201.79252387303,481023.0984612251,4400176.610180645,13S
11/20/2025,15:29:26.8,55766.8,39.75128747,-105.2215152,50201.66803933675,481023.0984667128,4400176.612400357,13S
11/20/2025,15:29:26.9,55766.9,39.75128748,-105.2215151,50201.53843046981,481023.1070363264,4400176.613489033,13S
11/20/2025,15:29:27.0,55767.0,39.7512875,-105.2215151,50201.45914963062,481023.1070418141,4400176.615708745,13S
