"X(m)","Y(m)","Longitude","Latitude","GPS-Easting (Z=13S)","GPS-Northing (Z=13S)","Amplitude (mV)","Elevation(m)"
78.299998226038156,0,-105.22163017405107,39.751274471986036,481013.24523024977,4400175.1890092725,1.3718069911003112,1762.0562857142857
78.399998223772556,0,-105.22163082559868,39.751274118771732,481013.18931603595,4400175.1499456391,1.9357891082763672,1762.0570714285714
78.499998221506956,0,-105.22163147714629,39.751273765557457,481013.13340182207,4400175.1108820066,2.0987579047679903,1762.0578571428571
78.599998219241357,0,-105.22163212869388,39.751273412343146,481013.07748760819,4400175.0718183741,1.8277534961700439,1762.0586428571428
78.699998216975757,0,-105.22163278024148,39.751273059128849,481013.02157339436,4400175.0327547407,1.7224646568298341,1762.0594285714285
78.799998214710172,0,-105.22163343178906,39.751272705914531,481012.96565918054,4400174.9936911073,1.3565477728843689,1762.0602142857144
78.899998212444586,0,-105.22163408333664,39.751272352700227,481012.90974496666,4400174.9546274748,1.1883907198905945,1762.0610000000001
78.999998210179001,0,-105.2216347394081,39.751272002224056,481012.85344394762,4400174.9158686958,0.81759085953235622,1762.0627857142858
79.099998207913416,0,-105.22163539547957,39.751271651747899,481012.79714292858,4400174.8771099169,0.78341012299060819,1762.0645714285715
79.19999820564783,0,-105.22163605155103,39.751271301271728,481012.74084190954,4400174.8383511379,1.1767937161028386,1762.0663571428572
79.299998203382231,0,-105.22163670762248,39.751270950795544,481012.68454089051,4400174.799592359,1.635792112350464,1762.0681428571429
79.399998201116631,0,-105.22163736369393,39.751270600319373,481012.62823987147,4400174.76083358,1.8305001854896545,1762.0699285714286
79.499998198851031,0,-105.22163801976536,39.751270249843195,481012.57193885237,4400174.7220748011,1.4032411098480224,1762.0717142857143
79.599998196585432,0,-105.2216386758368,39.75126989936701,481012.51563783328,4400174.6833160222,1.0983611643314362,1762.0735
79.699998194319846,0,-105.22163933190822,39.751269548890804,481012.45933681424,4400174.6445572423,1.268044078350067,1762.0752857142857
79.799998192054247,0,-105.22163998797964,39.751269198414604,481012.4030357952,4400174.6057984624,1.5417950868606567,1762.0770714285713
79.899998189788647,0,-105.22164064405105,39.751268847938405,481012.3467347761,4400174.5670396835,1.1685536980628968,1762.078857142857
79.999998187523047,0,-105.22164130012246,39.751268497462206,481012.29043375701,4400174.5282809045,0.73152866214513779,1762.0806428571427
80.099998185257448,0,-105.22164195619385,39.751268146986,481012.23413273797,4400174.4895221246,0.947599732875824,1762.0824285714284
80.199998182991848,0,-105.22164261226524,39.751267796509779,481012.17783171893,4400174.4507633448,1.3937803506851196,1762.0842142857143
80.299998180726249,0,-105.22164326833663,39.751267446033573,481012.12153069983,4400174.4120045658,1.6495254576206206,1762.086
80.399998178460649,0,-105.22164396667,39.751267112059232,481012.0616136801,4400174.3750862144,1.3016144275665282,1762.087
80.499998176195049,0,-105.22164466500337,39.751266778084897,481012.00169666036,4400174.338167863,0.92715232670307157,1762.088
